地名,センター,可燃（燃やすごみ）,不燃（不燃物）,不燃（ガラスびん）,不燃（有害物）,資源（古紙類）,資源（缶類）,資源（ペットボトル）,資源（廃食用油）,資源（衣類 古布）,容器包装プラスチック,粗大ごみ,排出禁止物,家電リサイクル法対象品
粟窪,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
池端,環境美化センター,水 土,木1 木3,木1 木3,木1 木3,木2 木4,木2 木4,木2 木4,木2 木4,木2 木4,月,,,
石田,環境美化センター,水 土,火1 火3,火1 火3,火1 火3,火2 火4,火2 火4,火2 火4,火2 火4,火2 火4,木,,,
伊勢原１丁目,環境美化センター,火 金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,水2 水4,水2 水4,水2 水4,土,,,
伊勢原２丁目,環境美化センター,火 金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,水2 水4,水2 水4,水2 水4,土,,,
伊勢原３丁目,環境美化センター,火 金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,水2 水4,水2 水4,水2 水4,土,,,
伊勢原４丁目,環境美化センター,火 金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,水2 水4,水2 水4,水2 水4,土,,,
板戸,環境美化センター,月 木,金2 金4,金2 金4,金2 金4,金1 金3,金1 金3,金1 金3,金1 金3,金1 金3,火,,,
歌川１丁目,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
歌川２丁目,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
歌川３丁目,環境美化センター,水 土,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
大住台１丁目,環境美化センター,月 木,金1 金3,金1 金3,金1 金3,金2 金4,金2 金4,金2 金4,金2 金4,金2 金4,火,,,
大住台２丁目,環境美化センター,月 木,金1 金3,金1 金3,金1 金3,金2 金4,金2 金4,金2 金4,金2 金4,金2 金4,火,,,
大住台３丁目,環境美化センター,月 木,金1 金3,金1 金3,金1 金3,金2 金4,金2 金4,金2 金4,金2 金4,金2 金4,火,,,
大山,環境美化センター,火 金,月2 月4,月2 月4,月2 月4,月1 月3,月1 月3,月1 月3,月1 月3,月1 月3,水,,,
岡崎,環境美化センター,月 木,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,水1 水3,水1 水3,水1 水3,金,,,
笠窪,環境美化センター,月 木,金1 金3,金1 金3,金1 金3,金2 金4,金2 金4,金2 金4,金2 金4,金2 金4,火,,,
上粕屋,環境美化センター,火 金,月2 月4,月2 月4,月2 月4,月1 月3,月1 月3,月1 月3,月1 月3,月1 月3,水,,,
上平間,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
上谷,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
串橋,環境美化センター,月 木,金1 金3,金1 金3,金1 金3,金2 金4,金2 金4,金2 金4,金2 金4,金2 金4,火,,,
小稲葉,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
神戸,環境美化センター,月 木,金1 金3,金1 金3,金1 金3,金2 金4,金2 金4,金2 金4,金2 金4,金2 金4,火,,,
子易,環境美化センター,火 金,月2 月4,月2 月4,月2 月4,月1 月3,月1 月3,月1 月3,月1 月3,月1 月3,水,,,
桜台１丁目,環境美化センター,月 木,火2 火4,火2 火4,火2 火4,火1 火3,火1 火3,火1 火3,火1 火3,火1 火3,金,,,
桜台２丁目,環境美化センター,月 木,火2 火4,火2 火4,火2 火4,火1 火3,火1 火3,火1 火3,火1 火3,火1 火3,金,,,
桜台３丁目,環境美化センター,月 木,火2 火4,火2 火4,火2 火4,火1 火3,火1 火3,火1 火3,火1 火3,火1 火3,金,,,
桜台４丁目,環境美化センター,月 木,火2 火4,火2 火4,火2 火4,火1 火3,火1 火3,火1 火3,火1 火3,火1 火3,金,,,
桜台５丁目,環境美化センター,月 木,火2 火4,火2 火4,火2 火4,火1 火3,火1 火3,火1 火3,火1 火3,火1 火3,金,,,
三ノ宮（小田急線以北）,環境美化センター,月 木,金1 金3,金1 金3,金1 金3,金2 金4,金2 金4,金2 金4,金2 金4,金2 金4,火,,,
三ノ宮（小田急線以南）,環境美化センター,月 木,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,水1 水3,水1 水3,水1 水3,金,,,
下落合,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
下糟屋,環境美化センター,水 土,木1 木3,木1 木3,木1 木3,木2 木4,木2 木4,木2 木4,木2 木4,木2 木4,月,,,
下平間,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
下谷,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
白根,環境美化センター,月 木,金2 金4,金2 金4,金2 金4,金1 金3,金1 金3,金1 金3,金1 金3,金1 金3,火,,,
鈴川,環境美化センター,月 木,金2 金4,金2 金4,金2 金4,金1 金3,金1 金3,金1 金3,金1 金3,金1 金3,火,,,
善波,環境美化センター,月 木,金1 金3,金1 金3,金1 金3,金2 金4,金2 金4,金2 金4,金2 金4,金2 金4,火,,,
田中,環境美化センター,火 金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,水2 水4,水2 水4,水2 水4,土,,,
高森（東名以北）,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
高森（東名以南）,環境美化センター,水 土,木1 木3,木1 木3,木1 木3,木2 木4,木2 木4,木2 木4,木2 木4,木2 木4,月,,,
高森１丁目,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
高森２丁目,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
高森３丁目,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
高森４丁目,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
高森５丁目（東高森団地）,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
高森５丁目（東高森団地除く）,環境美化センター,水 土,木1 木3,木1 木3,木1 木3,木2 木4,木2 木4,木2 木4,木2 木4,木2 木4,月,,,
高森６丁目,環境美化センター,水 土,木1 木3,木1 木3,木1 木3,木2 木4,木2 木4,木2 木4,木2 木4,木2 木4,月,,,
高森７丁目,環境美化センター,水 土,木1 木3,木1 木3,木1 木3,木2 木4,木2 木4,木2 木4,木2 木4,木2 木4,月,,,
高森台１丁目,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
高森台２丁目,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
高森台３丁目,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
坪ノ内,環境美化センター,月 木,金1 金3,金1 金3,金1 金3,金2 金4,金2 金4,金2 金4,金2 金4,金2 金4,火,,,
西富岡,環境美化センター,火 金,月2 月4,月2 月4,月2 月4,月1 月3,月1 月3,月1 月3,月1 月3,月1 月3,水,,,
沼目（池端飛び地内）,環境美化センター,水 土,木1 木3,木1 木3,木1 木3,木2 木4,木2 木4,木2 木4,木2 木4,木2 木4,月,,,
沼目,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
沼目１丁目,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
沼目２丁目,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
沼目３丁目,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
沼目４丁目,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
沼目５丁目,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
沼目６丁目,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
沼目７丁目ス,環境美化センター,水 土,木2 木4,木2 木4,木2 木4,木1 木3,木1 木3,木1 木3,木1 木3,木1 木3,月,,,
八幡台１丁目,環境美化センター,月 木,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,水1 水3,水1 水3,水1 水3,金,,,
八幡台２丁目,環境美化センター,月 木,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,水1 水3,水1 水3,水1 水3,金,,,
日向,環境美化センター,火 金,月2 月4,月2 月4,月2 月4,月1 月3,月1 月3,月1 月3,月1 月3,月1 月3,水,,,
東大竹（小田急線以北）,環境美化センター,月 木,金2 金4,金2 金4,金2 金4,金1 金3,金1 金3,金1 金3,金1 金3,金1 金3,火,,,
東大竹（小田急線以南）,環境美化センター,月 木,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,水1 水3,水1 水3,水1 水3,金,,,
東大竹１丁目,環境美化センター,火 金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,水2 水4,水2 水4,水2 水4,土,,,
東大竹２丁目,環境美化センター,火 金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,水2 水4,水2 水4,水2 水4,土,,,
東富岡,環境美化センター,火 金,月1 月3,月1 月3,月1 月3,月2 月4,月2 月4,月2 月4,月2 月4,月2 月4,木,,,
東成瀬,環境美化センター,水 土,火1 火3,火1 火3,火1 火3,火2 火4,火2 火4,火2 火4,火2 火4,火2 火4,木,,,
見附島,環境美化センター,水 土,火1 火3,火1 火3,火1 火3,火2 火4,火2 火4,火2 火4,火2 火4,火2 火4,木,,,
